Data,Dia da semana,Mes,Ano,Feriado,Cargo,Regime de trabalho,Salario Base,Salario Bruto,Valor_HE_por_hora,Hora_inicio,Hora_fim,qtd_HE,HE_retorno,Tipo_HE
2013-07-21,Domingo,Julho,2013,Nao,Eletricista,Folga,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-07-22,Segunda-feira,Julho,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-07-23,Terça-feira,Julho,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-07-24,Quarta-feira,Julho,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-07-25,Quinta-feira,Julho,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-07-26,Sexta-feira,Julho,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-07-27,Sábado,Julho,2013,Nao,Eletricista,Folga,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-07-28,Domingo,Julho,2013,Nao,Eletricista,Folga,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-07-29,Segunda-feira,Julho,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-07-30,Terça-feira,Julho,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-07-31,Quarta-feira,Julho,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-08-01,Quinta-feira,Agosto,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-08-02,Sexta-feira,Agosto,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-08-03,Sábado,Agosto,2013,Nao,Eletricista,Folga,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-08-04,Domingo,Agosto,2013,Nao,Eletricista,Folga,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-08-05,Segunda-feira,Agosto,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-08-06,Terça-feira,Agosto,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-08-07,Quarta-feira,Agosto,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-08-08,Quinta-feira,Agosto,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-08-09,Sexta-feira,Agosto,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-08-10,Sábado,Agosto,2013,Nao,Eletricista,Folga,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-08-11,Domingo,Agosto,2013,Nao,Eletricista,Folga,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-08-12,Segunda-feira,Agosto,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-08-13,Terça-feira,Agosto,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-08-14,Quarta-feira,Agosto,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-08-15,Quinta-feira,Agosto,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-08-16,Sexta-feira,Agosto,2013,Nao,Eletricista,Trabalho,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-08-17,Sábado,Agosto,2013,Nao,Eletricista,Folga,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
2013-08-18,Domingo,Agosto,2013,Nao,Eletricista,Folga,1.087743219,1.4140661847,0.0070703309235,,,0.0,,nan
